date,bndes_tjlp,obs_bndes_tlp,ntnb_5yr_yield,cpi_ipca
Jan-14,5,,,5.59
Feb-14,5,,,5.68
Mar-14,5,,,6.15
Apr-14,5,,,6.28
May-14,5,,,6.37
Jun-14,5,,,6.52
Jul-14,5,,,6.5
Aug-14,5,,,6.51
Sep-14,5,,,6.75
Oct-14,5,,,6.59
Nov-14,5,,,6.56
Dec-14,5,,,6.41
Jan-15,5.5,,,7.14
Feb-15,5.5,,,7.7
Mar-15,5.5,,,8.13
Apr-15,6,,,8.17
May-15,6,,,8.47
Jun-15,6,,,8.89
Jul-15,6.5,,,9.56
Aug-15,6.5,,,9.53
Sep-15,6.5,,,9.49
Oct-15,7,,,9.93
Nov-15,7,,,10.48
Dec-15,7,,,10.67
Jan-16,7.5,,,10.71
Feb-16,7.5,,,10.36
Mar-16,7.5,,,9.39
Apr-16,7.5,,,9.28
May-16,7.5,,,9.32
Jun-16,7.5,,,8.84
Jul-16,7.5,,,8.74
Aug-16,7.5,,,8.97
Sep-16,7.5,,,8.48
Oct-16,7.5,,,7.87
Nov-16,7.5,,,6.99
Dec-16,7.5,,,6.29
Jan-17,7.5,,,5.35
Feb-17,7.5,,,4.76
Mar-17,7.5,,,4.57
Apr-17,7,,,4.08
May-17,7,,,3.6
Jun-17,7,,,3
Jul-17,7,,,2.71
Aug-17,7,,,2.46
Sep-17,7,,,2.54
Oct-17,7,,4.98,2.7
Nov-17,7,,5.15,2.8
Dec-17,7,,5.09,2.95
Jan-18,,2.7,4.67,2.86
Feb-18,,2.74,4.74,2.84
Mar-18,,2.71,4.64,2.68
Apr-18,,2.62,4.69,2.76
May-18,,2.55,5.4,2.86
Jun-18,,2.58,5.75,4.39
Jul-18,,2.78,5.57,4.48
Aug-18,,3,5.63,4.19
Sep-18,,3.13,5.89,4.53
Oct-18,,3.17,4.82,4.56
Nov-18,,3.1,4.85,4.05
Dec-18,,2.98,4.59,3.75
Jan-19,,3.19,4.15,3.78
Feb-19,,2.98,4.15,3.89
Mar-19,,2.84,4.17,4.58
Apr-19,,2.7,4.16,4.94
May-19,,2.67,3.77,4.66
Jun-19,,2.64,3.25,3.37
Jul-19,,2.53,3.14,3.22
Aug-19,,2.25,3.25,3.43
Sep-19,,2.03,2.8,2.89
Oct-19,,1.91,2.4,2.54
Nov-19,,1.8,2.78,3.27
Dec-19,,1.68,2.77,4.31
Jan-20,,1.78,2.69,4.19
Feb-20,,1.79,2.58,4.01
Mar-20,,1.83,2.81,3.3
Apr-20,,1.98,2.75,2.4
May-20,,2.12,2.69,1.88
Jun-20,,2.26,2.45,2.13
Jul-20,,2.06,2,2.31
Aug-20,,1.78,2.37,2.44
Sep-20,,1.53,2.81,3.14
Oct-20,,1.49,2.93,3.92
Nov-20,,1.64,2.78,4.31
Dec-20,,1.83,2.3,4.52
Jan-21,,2.1,2.65,4.56
Feb-21,,2.09,3.02,5.2
Mar-21,,2.08,3.53,6.1
Apr-21,,2.33,3.41,6.76
May-21,,2.65,3.44,8.06
Jun-21,,2.87,3.76,8.35
Jul-21,,2.99,3.92,8.99
Aug-21,,3.03,4.45,9.68
Sep-21,,3.28,4.68,10.25
Oct-21,,3.54,5.38,10.67
Nov-21,,3.83,5.15,10.74
Dec-21,,4.1,5.12,10.06
Jan-22,,4.63,5.43,10.38
Feb-22,,4.75,5.38,10.54
Mar-22,,4.77,5.46,11.3
Apr-22,,4.94,5.53,12.13
May-22,,4.95,5.61,11.73
Jun-22,,5.01,5.79,11.89
Jul-22,,4.99,6.04,10.07
Aug-22,,5.19,5.94,8.73
Sep-22,,5.23,5.83,7.17
Oct-22,,5.27,5.44,6.47
Nov-22,,5.17,6.1,5.9
Dec-22,,5.23,6.21,5.79
Jan-23,,5.93,6.21,5.77
Feb-23,,6.08,5.96,5.6
Mar-23,,6.15,5.78,4.65
Apr-23,,6.05,5.68,4.18
May-23,,5.93,5.66,3.94
Jun-23,,5.69,5.45,3.16
Jul-23,,5.49,5.26,3.99
Aug-23,,5.31,5.26,4.61
Sep-23,,5.15,5.64,5.19
Oct-23,,5.14,6.21,4.82
Nov-23,,5.33,5.58,4.68
Dec-23,,5.56,5.25,4.62
Jan-24,,5.6,5.38,4.51
Feb-24,,5.48,5.68,4.5
Mar-24,,5.41,5.7,3.93
Apr-24,,5.48,6.29,3.69
May-24,,5.7,6.23,3.93
Jun-24,,5.91,6.56,4.23
