date,solar_capacity_ratio
Jan-14,0.0110748
Feb-14,0.011098
Mar-14,0.0127725
Apr-14,0.0130022
May-14,0.0144324
Jun-14,0.0153317
Jul-14,0.0160628
Aug-14,0.0164412
Sep-14,0.0165228
Oct-14,0.0166916
Nov-14,0.0167078
Dec-14,0.016775
Jan-15,0.0168636
Feb-15,0.0171504
Mar-15,0.0174216
Apr-15,0.0175974
May-15,0.0177633
Jun-15,0.0185591
Jul-15,0.0194732
Aug-15,0.0203427
Sep-15,0.0207404
Oct-15,0.0286678
Nov-15,0.0292959
Dec-15,0.0304837
Jan-16,0.0316966
Feb-16,0.0329193
Mar-16,0.0354922
Apr-16,0.0372968
May-16,0.0362843
Jun-16,0.0584615
Jul-16,0.0621112
Aug-16,0.0638365
Sep-16,0.0661635
Oct-16,0.0695105
Nov-16,0.074066
Dec-16,0.0769683
Jan-17,0.0804857
Feb-17,0.0832636
Mar-17,0.0863031
Apr-17,0.0901488
May-17,0.094259
Jun-17,0.1005982
Jul-17,0.1815657
Aug-17,0.1868199
Sep-17,0.2129631
Oct-17,0.3352984
Nov-17,0.3644794
Dec-17,0.4091533
Jan-18,0.7397006
Feb-18,0.7519258
Mar-18,0.8042688
Apr-18,0.8854026
May-18,0.9338506
Jun-18,0.9986477
Jul-18,1.0174681
Aug-18,1.0362433
Sep-18,1.0696365
Oct-18,1.1082074
Nov-18,1.185466
Dec-18,1.3275328
Jan-19,1.4808372
Feb-19,1.5806941
Mar-19,1.6617123
Apr-19,1.7596349
May-19,1.8370875
Jun-19,1.9064552
Jul-19,1.9672874
Aug-19,2.0509311
Sep-19,2.2231751
Oct-19,2.3046638
Nov-19,2.3962564
Dec-19,2.6095643
Jan-20,2.7446495
Feb-20,2.8821562
Mar-20,3.1157133
Apr-20,3.2378533
May-20,3.4917479
Jun-20,3.6556237
Jul-20,3.7782417
Aug-20,3.9156484
Sep-20,4.0366741
Oct-20,4.1642245
Nov-20,4.3519321
Dec-20,4.5091998
Jan-21,4.7322285
Feb-21,4.8791336
Mar-21,5.0246033
Apr-21,5.2292782
May-21,5.3842987
Jun-21,5.5629434
Jul-21,5.7597502
Aug-21,5.9744276
Sep-21,6.3358179
Oct-21,6.5312441
Nov-21,7.0368228
Dec-21,7.3166583
Jan-22,7.5821302
Feb-22,7.7890077
Mar-22,8.0728869
Apr-22,8.4330452
May-22,8.7705788
Jun-22,9.1237116
Jul-22,9.4756568
Aug-22,9.9395755
Sep-22,10.4143393
Oct-22,10.9489542
Nov-22,11.3001448
Dec-22,11.697479
Jan-23,12.2105885
Feb-23,12.7567519
Mar-23,13.2026256
Apr-23,13.7297757
May-23,14.1294147
Jun-23,14.7469819
Jul-23,15.0010398
Aug-23,15.1879593
Sep-23,15.6485239
Oct-23,15.819572
Nov-23,16.1025774
Dec-23,16.4340374
Jan-24,16.6975472
Feb-24,17.0268079
Mar-24,17.4504901
Apr-24,17.8662393
May-24,18.3235941
Jun-24,18.6662902
,18.9522491
