date,us_treasury_yield
Jan-14,2.644
Feb-14,2.648
Mar-14,2.718
Apr-14,2.646
May-14,2.476
Jun-14,2.53
Jul-14,2.558
Aug-14,2.343
Sep-14,2.489
Oct-14,2.335
Nov-14,2.164
Dec-14,2.171
Jan-15,1.641
Feb-15,1.993
Mar-15,1.923
Apr-15,2.032
May-15,2.121
Jun-15,2.353
Jul-15,2.18
Aug-15,2.218
Sep-15,2.037
Oct-15,2.142
Nov-15,2.206
Dec-15,2.269
Jan-16,1.921
Feb-16,1.735
Mar-16,1.769
Apr-16,1.833
May-16,1.846
Jun-16,1.47
Jul-16,1.453
Aug-16,1.58
Sep-16,1.594
Oct-16,1.825
Nov-16,2.381
Dec-16,2.444
Jan-17,2.453
Feb-17,2.39
Mar-17,2.387
Apr-17,2.28
May-17,2.203
Jun-17,2.304
Jul-17,2.294
Aug-17,2.117
Sep-17,2.334
Oct-17,2.379
Nov-17,2.41
Dec-17,2.405
Jan-18,2.705
Feb-18,2.861
Mar-18,2.739
Apr-18,2.953
May-18,2.859
Jun-18,2.86
Jul-18,2.96
Aug-18,2.86
Sep-18,3.061
Oct-18,3.144
Nov-18,2.988
Dec-18,2.684
Jan-19,2.629
Feb-19,2.715
Mar-19,2.405
Apr-19,2.502
May-19,2.125
Jun-19,2.005
Jul-19,2.014
Aug-19,1.496
Sep-19,1.665
Oct-19,1.691
Nov-19,1.776
Dec-19,1.917
Jan-20,1.507
Feb-20,1.149
Mar-20,0.669
Apr-20,0.639
May-20,0.653
Jun-20,0.656
Jul-20,0.528
Aug-20,0.705
Sep-20,0.684
Oct-20,0.874
Nov-20,0.839
Dec-20,0.913
Jan-21,1.065
Feb-21,1.405
Mar-21,1.74
Apr-21,1.626
May-21,1.594
Jun-21,1.468
Jul-21,1.222
Aug-21,1.309
Sep-21,1.487
Oct-21,1.552
Nov-21,1.444
Dec-21,1.51
Jan-22,1.777
Feb-22,1.825
Mar-22,2.338
Apr-22,2.934
May-22,2.844
Jun-22,3.013
Jul-22,2.649
Aug-22,3.193
Sep-22,3.829
Oct-22,4.048
Nov-22,3.605
Dec-22,3.875
Jan-23,3.507
Feb-23,3.92
Mar-23,3.468
Apr-23,3.422
May-23,3.643
Jun-23,3.837
Jul-23,3.959
Aug-23,4.108
Sep-23,4.571
Oct-23,4.931
Nov-23,4.326
Dec-23,3.879
Jan-24,3.912
Feb-24,4.25
Mar-24,4.2
Apr-24,4.68
May-24,4.499
Jun-24,4.396
